Country,Combined
Luxembourg,229233.31579999998
Switzerland,172431.55591
Ireland,166154.38048
Norway,143049.43069
United States,128872.97265
Iceland,128211.64228
Denmark,120839.05153
Australia,106568.12871
Netherlands,104873.38996
Sweden,104213.83853000001
Austria,98701.20243
Finland,97373.62989
Germany,93003.32876
Belgium,91750.83983
Canada,89632.98912
Israel,88120.19137
New Zealand,84196.68293000001
United Kingdom,84129.66717
Japan,80970.86114
France,79609.00466
Italy,65355.854699999996
"Korea, Rep.",63568.2658
Spain,56618.50962
Slovenia,51460.28544
Czech Republic,46591.42341
Estonia,46424.14701
Portugal,45507.114
Lithuania,39809.409830000004
Slovak Republic,38570.05923
Greece,36756.298760000005
Latvia,35653.09453
Hungary,32716.400670000003
Poland,31453.19779
Chile,27973.41861
Costa Rica,24834.68211
Mexico,18279.721393
Turkey,17657.948487
Colombia,11759.535534
