Country,Combined
Finland,7.8255
Denmark,7.633
Switzerland,7.5655
Iceland,7.529
Netherlands,7.4565
Norway,7.44
Sweden,7.3580000000000005
New Zealand,7.2885
Luxembourg,7.281000000000001
Austria,7.281
Australia,7.202999999999999
Canada,7.1675
Israel,7.143
Germany,7.1155
United Kingdom,7.1145
Ireland,7.106999999999999
Costa Rica,7.095000000000001
United States,6.9455
Czech Republic,6.938
Belgium,6.849
France,6.677
Spain,6.446
Italy,6.435
Slovenia,6.412000000000001
Mexico,6.391
Slovakia,6.306
Lithuania,6.234999999999999
Chile,6.199999999999999
Poland,6.176
Estonia,6.1055
Colombia,6.0875
Hungary,5.996
Latvia,5.991
Portugal,5.92
Japan,5.9055
South Korea,5.858499999999999
Greece,5.619
Turkey,5.04
